Exercise,BodyPart,Difficulty,Intensity,MovementPattern,Equipment,RecommendedReps,RecommendedSets,Description,MuscleGroups,GifUrl
dumbbell one arm decline chest press,chest,2,High,Compound,Band,8-12,4,No description provided,General,
dumbbell one arm fly on exercise ball,chest,2,Medium,Pull,None,15-20,2,No description provided,General,
dumbbell one arm incline chest press,chest,1,Low,Cardio,Barbell,12-15,1,No description provided,General,
dumbbell one arm press on exercise ball,chest,2,High,Compound,Dumbbell,8-12,1,No description provided,General,
dumbbell one arm pullover on exercise ball,chest,4,Medium,Isolation,Kettlebell,8-12,1,No description provided,General,
dumbbell one leg fly on exercise ball,chest,3,Low,Isolation,Body Weight,12-15,4,No description provided,General,
dumbbell press on exercise ball,chest,4,Medium,Pull,Kettlebell,Max Effort,3,No description provided,General,
dumbbell pullover hip extension on exercise ball,chest,2,Low,Cardio,Dumbbell,15-20,2,No description provided,General,
dumbbell pullover on exercise ball,chest,5,Medium,Cardio,Dumbbell,Max Effort,1,No description provided,General,
exercise ball pike push up,chest,5,Medium,Push,Machine,15-20,3,No description provided,General,
isometric chest squeeze,chest,4,High,Cardio,None,Max Effort,1,No description provided,General,
kettlebell one arm floor press,chest,2,High,Push,Kettlebell,12-15,1,No description provided,General,
lever incline chest press,chest,5,Medium,Compound,Cable,15-20,1,No description provided,General,
lever decline chest press,chest,3,Low,Core,Cable,Max Effort,4,No description provided,General,
machine inner chest press,chest,1,Medium,Core,Dumbbell,8-12,1,No description provided,General,
medicine ball chest pass,chest,4,High,Cardio,Body Weight,15-20,1,No description provided,General,
medicine ball chest push from 3 point stance,chest,2,High,Push,Dumbbell,8-12,1,No description provided,General,
medicine ball chest push multiple response,chest,4,Low,Pull,Kettlebell,12-15,2,No description provided,General,
medicine ball chest push single response,chest,1,Low,Compound,Kettlebell,8-12,3,No description provided,General,
plyo push up,chest,1,Medium,Core,None,Max Effort,2,No description provided,General,
push up on bosu ball,chest,4,High,Core,Body Weight,8-12,2,No description provided,General,
smith wide grip bench press,chest,5,High,Push,Cable,Max Effort,3,No description provided,General,
smith wide grip decline bench press,chest,1,Medium,Isolation,Dumbbell,8-12,3,No description provided,General,
weighted drop push up,chest,5,Low,Isolation,Barbell,15-20,2,No description provided,General,
wide hand push up,chest,4,High,Cardio,Cable,15-20,3,No description provided,General,
medicine ball chest push with run release,chest,1,High,Cardio,Dumbbell,15-20,3,No description provided,General,
chest dip (on dip-pull-up cage),chest,4,High,Core,Band,8-12,2,No description provided,General,
lever incline chest press v. 2,chest,4,High,Isolation,Cable,Max Effort,4,No description provided,General,
dumbbell one arm reverse grip press,chest,1,Medium,Pull,Cable,8-12,4,No description provided,General,
dumbbell reverse bench press,chest,5,High,Core,Barbell,Max Effort,4,No description provided,General,
smith machine reverse decline close grip bench press,chest,1,High,Core,Cable,8-12,3,No description provided,General,
push and pull bodyweight,chest,3,Medium,Cardio,Body Weight,Max Effort,3,No description provided,General,
assisted seated pectoralis major stretch with stability ball,chest,4,Medium,Core,None,15-20,1,No description provided,General,
hands bike,chest,3,Medium,Cardio,Cable,Max Effort,2,No description provided,General,
cable seated chest press,chest,2,Low,Isolation,Band,Max Effort,1,No description provided,General,
roller seated shoulder flexor depresor retractor,chest,3,Low,Compound,Cable,12-15,1,No description provided,General,
roller seated single leg shoulder flexor depresor retractor,chest,1,High,Isolation,Machine,Max Effort,4,No description provided,General,
wide-grip chest dip on high parallel bars,chest,4,Low,Isolation,Kettlebell,Max Effort,1,No description provided,General,
assisted wide-grip chest dip (kneeling),chest,5,Medium,Push,Dumbbell,15-20,1,No description provided,General,
chest dip on straight bar,chest,5,Low,Compound,None,8-12,1,No description provided,General,
incline scapula push up,chest,2,High,Compound,Dumbbell,8-12,4,No description provided,General,
scapula push-up,chest,5,High,Isolation,Machine,15-20,4,No description provided,General,
resistance band seated chest press,chest,4,Low,Pull,Cable,12-15,2,No description provided,General,
push-up plus,chest,3,Low,Core,Barbell,8-12,1,No description provided,General,
kneeling push-up (male),chest,5,High,Cardio,Dumbbell,15-20,3,No description provided,General,
chest tap push-up (male),chest,3,Low,Pull,Cable,Max Effort,2,No description provided,General,
modified hindu push-up (male),chest,2,High,Core,Kettlebell,Max Effort,4,No description provided,General,
hyght dumbbell fly,chest,2,Low,Core,Band,12-15,2,No description provided,General,
korean dips,chest,4,High,Isolation,Cable,12-15,2,No description provided,General,
archer push up,chest,3,Medium,Compound,Body Weight,8-12,1,No description provided,General,
weighted straight bar dip,chest,4,High,Push,Cable,15-20,1,No description provided,General,
full planche push-up,chest,2,High,Pull,None,Max Effort,4,No description provided,General,
dumbbell incline alternate press,chest,5,Low,Core,Body Weight,15-20,4,No description provided,General,
lever standing chest press,chest,3,Low,Cardio,None,8-12,2,No description provided,General,
incline push-up (on box),chest,2,Medium,Isolation,Machine,15-20,4,No description provided,General,
barbell revers wrist curl v. 2,lower arms,4,Medium,Pull,Cable,12-15,1,No description provided,General,
barbell reverse wrist curl,lower arms,1,Medium,Pull,Barbell,Max Effort,2,No description provided,General,
barbell standing back wrist curl,lower arms,5,High,Cardio,Kettlebell,15-20,3,No description provided,General,
barbell wrist curl v. 2,lower arms,4,Low,Core,Kettlebell,Max Effort,4,No description provided,General,
barbell wrist curl,lower arms,3,Medium,Cardio,Dumbbell,Max Effort,1,No description provided,General,
cable reverse wrist curl,lower arms,4,Medium,Isolation,Body Weight,8-12,3,No description provided,General,
cable standing back wrist curl,lower arms,5,Medium,Cardio,Machine,12-15,2,No description provided,General,
cable wrist curl,lower arms,3,High,Compound,Kettlebell,Max Effort,4,No description provided,General,
dumbbell lying pronation,lower arms,3,Low,Pull,Machine,8-12,3,No description provided,General,
dumbbell lying supination,lower arms,5,Medium,Push,Machine,Max Effort,1,No description provided,General,
dumbbell one arm reverse wrist curl,lower arms,3,High,Push,Cable,8-12,1,No description provided,General,
dumbbell one arm wrist curl,lower arms,1,Medium,Cardio,Body Weight,12-15,2,No description provided,General,
dumbbell over bench one arm wrist curl,lower arms,1,Low,Pull,Barbell,15-20,3,No description provided,General,
dumbbell over bench revers wrist curl,lower arms,4,High,Push,Cable,8-12,3,No description provided,General,
dumbbell over bench wrist curl,lower arms,3,Medium,Compound,Kettlebell,15-20,3,No description provided,General,
dumbbell reverse wrist curl,lower arms,4,High,Pull,Dumbbell,15-20,3,No description provided,General,
dumbbell seated one arm rotate,lower arms,5,Medium,Core,Body Weight,12-15,2,No description provided,General,
dumbbell seated palms up wrist curl,lower arms,4,High,Compound,Machine,Max Effort,2,No description provided,General,
finger curls,lower arms,1,Low,Isolation,Barbell,Max Effort,2,No description provided,General,
kettlebell alternating hang clean,lower arms,1,Low,Pull,Body Weight,8-12,1,No description provided,General,
side wrist pull stretch,lower arms,5,Medium,Cardio,Cable,Max Effort,4,No description provided,General,
smith standing back wrist curl,lower arms,3,Medium,Isolation,Machine,12-15,1,No description provided,General,
weighted standing hand squeeze,lower arms,5,High,Compound,None,12-15,3,No description provided,General,
wrist rollerer,lower arms,2,Low,Cardio,Band,Max Effort,1,No description provided,General,
band reverse wrist curl,lower arms,4,Low,Cardio,Dumbbell,Max Effort,1,No description provided,General,
band wrist curl,lower arms,5,Low,Push,Band,8-12,2,No description provided,General,
barbell palms down wrist curl over a bench,lower arms,5,High,Compound,Dumbbell,Max Effort,2,No description provided,General,
barbell palms up wrist curl over a bench,lower arms,4,High,Isolation,Cable,8-12,4,No description provided,General,
dumbbell one arm seated neutral wrist curl,lower arms,1,Low,Compound,Cable,12-15,4,No description provided,General,
modified push up to lower arms,lower arms,5,Low,Push,Dumbbell,8-12,4,No description provided,General,
smith seated wrist curl,lower arms,2,High,Core,Band,12-15,1,No description provided,General,
wrist circles,lower arms,2,Medium,Compound,Cable,Max Effort,4,No description provided,General,
dumbbell finger curls,lower arms,4,Medium,Isolation,Barbell,Max Effort,1,No description provided,General,
dumbbell over bench one arm reverse wrist curl,lower arms,2,Medium,Core,Band,Max Effort,3,No description provided,General,
lever gripper hands,lower arms,3,Medium,Compound,Machine,8-12,3,No description provided,General,
dumbbell lying pronation on floor,lower arms,2,Low,Pull,Cable,12-15,2,No description provided,General,
dumbbell lying supination on floor,lower arms,1,High,Push,Kettlebell,12-15,4,No description provided,General,
barbell seated calf raise,lower legs,3,High,Isolation,Body Weight,15-20,3,No description provided,General,
barbell standing leg calf raise,lower legs,1,High,Core,Kettlebell,Max Effort,3,No description provided,General,
barbell standing rocking leg calf raise,lower legs,4,Low,Cardio,Body Weight,Max Effort,3,No description provided,General,
circles knee stretch,lower legs,4,Medium,Isolation,Barbell,15-20,3,No description provided,General,
donkey calf raise,lower legs,4,Low,Core,Dumbbell,12-15,1,No description provided,General,
dumbbell seated one leg calf raise,lower legs,1,Low,Compound,None,Max Effort,4,No description provided,General,
dumbbell single leg calf raise,lower legs,2,High,Push,Barbell,15-20,2,No description provided,General,
dumbbell standing calf raise,lower legs,2,Low,Pull,Barbell,12-15,4,No description provided,General,
lever seated calf raise,lower legs,2,High,Core,Barbell,15-20,2,No description provided,General,
lever standing calf raise,lower legs,5,High,Core,Body Weight,15-20,1,No description provided,General,
single leg calf raise (on a dumbbell),lower legs,1,High,Core,Body Weight,Max Effort,4,No description provided,General,
sled 45в° calf press,lower legs,5,High,Cardio,Machine,12-15,3,No description provided,General,
sled forward angled calf raise,lower legs,4,High,Pull,Cable,8-12,4,No description provided,General,
smith reverse calf raises,lower legs,3,Low,Core,None,Max Effort,3,No description provided,General,
smith standing leg calf raise,lower legs,5,Low,Push,Dumbbell,15-20,2,No description provided,General,
weighted donkey calf raise,lower legs,3,High,Pull,Dumbbell,15-20,2,No description provided,General,
band single leg calf raise,lower legs,5,Low,Compound,Band,Max Effort,2,No description provided,General,
band single leg reverse calf raise,lower legs,2,Low,Compound,Machine,8-12,3,No description provided,General,
lever donkey calf raise,lower legs,5,Medium,Cardio,Body Weight,12-15,2,No description provided,General,
ankle circles,lower legs,1,High,Pull,Barbell,Max Effort,4,No description provided,General,
band two legs calf raise - (band under both legs) v. 2,lower legs,5,Medium,Core,Dumbbell,12-15,4,No description provided,General,
barbell floor calf raise,lower legs,4,High,Core,Barbell,12-15,4,No description provided,General,
barbell seated calf raise,lower legs,4,Medium,Isolation,Band,8-12,3,No description provided,General,
barbell standing calf raise,lower legs,4,High,Isolation,None,Max Effort,4,No description provided,General,
bodyweight standing calf raise,lower legs,3,Low,Cardio,Cable,8-12,1,No description provided,General,
box jump down with one leg stabilization,lower legs,3,Low,Isolation,Kettlebell,Max Effort,4,No description provided,General,
cable standing calf raise,lower legs,1,High,Cardio,Dumbbell,Max Effort,4,No description provided,General,
cable standing one leg calf raise,lower legs,4,Medium,Cardio,Machine,8-12,4,No description provided,General,
calf stretch with hands against wall,lower legs,1,Low,Isolation,Body Weight,12-15,3,No description provided,General,
calf stretch with rope,lower legs,4,High,Core,Dumbbell,12-15,1,No description provided,General,
dumbbell seated calf raise,lower legs,5,High,Pull,Dumbbell,12-15,2,No description provided,General,
dumbbell seated one leg calf raise - hammer grip,lower legs,4,High,Cardio,None,15-20,4,No description provided,General,
dumbbell seated one leg calf raise - palm up,lower legs,4,Low,Cardio,None,12-15,1,No description provided,General,
exercise ball on the wall calf raise,lower legs,2,High,Pull,Dumbbell,8-12,2,No description provided,General,
hack calf raise,lower legs,1,Low,Core,Machine,Max Effort,3,No description provided,General,
hack one leg calf raise,lower legs,3,Medium,Pull,Kettlebell,8-12,2,No description provided,General,
lever seated squat calf raise on leg press machine,lower legs,2,Low,Compound,Dumbbell,12-15,1,No description provided,General,
one leg donkey calf raise,lower legs,1,Low,Isolation,Dumbbell,8-12,1,No description provided,General,
one leg floor calf raise,lower legs,4,High,Core,Barbell,Max Effort,3,No description provided,General,
peroneals stretch,lower legs,3,Low,Pull,Machine,12-15,1,No description provided,General,
posterior tibialis stretch,lower legs,3,Medium,Pull,Dumbbell,12-15,3,No description provided,General,
seated calf stretch (male),lower legs,3,Medium,Compound,Barbell,Max Effort,3,No description provided,General,
sled calf press on leg press,lower legs,2,High,Pull,None,8-12,2,No description provided,General,
sled one leg calf press on leg press,lower legs,4,Medium,Core,Kettlebell,8-12,4,No description provided,General,
smith one leg floor calf raise,lower legs,5,High,Cardio,Machine,Max Effort,4,No description provided,General,
smith reverse calf raises,lower legs,1,Medium,Push,Band,12-15,4,No description provided,General,
smith seated one leg calf raise,lower legs,5,Medium,Isolation,Barbell,8-12,1,No description provided,General,
smith toe raise,lower legs,2,Medium,Isolation,Barbell,Max Effort,1,No description provided,General,
standing calves,lower legs,5,Medium,Pull,Machine,15-20,3,No description provided,General,
standing calves calf stretch,lower legs,3,Low,Pull,Cable,Max Effort,2,No description provided,General,
calf push stretch with hands against wall,lower legs,2,Medium,Isolation,None,12-15,1,No description provided,General,
standing calf raise (on a staircase),lower legs,1,High,Isolation,Band,8-12,2,No description provided,General,
assisted lying calves stretch,lower legs,5,High,Compound,None,8-12,1,No description provided,General,
lever calf press,lower legs,5,Low,Cardio,Barbell,8-12,3,No description provided,General,
lever rotary calf,lower legs,4,Medium,Compound,Machine,8-12,3,No description provided,General,
sled lying calf press,lower legs,4,Low,Isolation,Band,12-15,4,No description provided,General,
lever seated calf press,lower legs,1,Low,Isolation,Machine,12-15,1,No description provided,General,
exercise ball on the wall calf raise (tennis ball between knees),lower legs,3,Medium,Isolation,Kettlebell,15-20,1,No description provided,General,
exercise ball on the wall calf raise (tennis ball between ankles),lower legs,3,Medium,Core,Machine,Max Effort,4,No description provided,General,
side push neck stretch,neck,2,Medium,Pull,Machine,Max Effort,4,No description provided,General,
neck side stretch,neck,3,High,Isolation,Band,15-20,4,No description provided,General,
barbell front raise,shoulders,2,Medium,Isolation,Barbell,12-15,3,No description provided,General,
barbell one arm snatch,shoulders,3,Medium,Core,Barbell,15-20,1,No description provided,General,
barbell rear delt raise,shoulders,4,Low,Isolation,Kettlebell,8-12,2,No description provided,General,
barbell rear delt row,shoulders,3,Low,Isolation,Band,8-12,2,No description provided,General,
barbell seated behind head military press,shoulders,2,Medium,Core,Body Weight,8-12,2,No description provided,General,
barbell seated bradford rocky press,shoulders,2,Medium,Cardio,Body Weight,8-12,3,No description provided,General,
barbell seated overhead press,shoulders,2,Medium,Core,None,12-15,4,No description provided,General,
barbell skier,shoulders,3,High,Push,None,Max Effort,4,No description provided,General,
barbell standing bradford press,shoulders,5,High,Core,Barbell,8-12,4,No description provided,General,
barbell standing front raise over head,shoulders,2,High,Push,Kettlebell,15-20,4,No description provided,General,
barbell upright row v. 2,shoulders,4,Medium,Isolation,Machine,Max Effort,4,No description provided,General,
barbell upright row,shoulders,5,Low,Push,Cable,12-15,2,No description provided,General,
barbell upright row v. 3,shoulders,2,Low,Compound,Kettlebell,15-20,2,No description provided,General,
barbell wide-grip upright row,shoulders,3,High,Cardio,Body Weight,15-20,1,No description provided,General,
battling ropes,shoulders,2,Medium,Core,Barbell,8-12,4,No description provided,General,
cable alternate shoulder press,shoulders,4,Medium,Push,Barbell,Max Effort,3,No description provided,General,
cable cross-over revers fly,shoulders,3,Medium,Push,Band,15-20,2,No description provided,General,
cable forward raise,shoulders,3,High,Core,Kettlebell,15-20,3,No description provided,General,
cable front raise,shoulders,4,Low,Pull,Body Weight,15-20,2,No description provided,General,
cable front shoulder raise,shoulders,5,Medium,Core,Barbell,8-12,2,No description provided,General,
cable lateral raise,shoulders,5,High,Cardio,Barbell,12-15,4,No description provided,General,
cable one arm lateral raise,shoulders,1,Medium,Push,Barbell,8-12,1,No description provided,General,
cable rear delt row (stirrups),shoulders,1,High,Pull,Barbell,8-12,1,No description provided,General,
cable rear delt row (with rope),shoulders,1,Low,Core,Barbell,Max Effort,4,No description provided,General,
cable seated rear lateral raise,shoulders,1,Medium,Isolation,Kettlebell,8-12,2,No description provided,General,
cable seated shoulder internal rotation,shoulders,5,Low,Cardio,Dumbbell,Max Effort,3,No description provided,General,
cable shoulder press,shoulders,1,Low,Push,Barbell,15-20,4,No description provided,General,
cable standing cross-over high reverse fly,shoulders,4,Low,Compound,None,12-15,1,No description provided,General,
cable standing rear delt row (with rope),shoulders,4,High,Cardio,Barbell,Max Effort,2,No description provided,General,
cable standing shoulder external rotation,shoulders,4,Medium,Pull,Band,12-15,2,No description provided,General,
cable supine reverse fly,shoulders,4,Medium,Push,Body Weight,Max Effort,1,No description provided,General,
cable upright row,shoulders,1,Medium,Push,Kettlebell,15-20,1,No description provided,General,
dumbbell alternate side press,shoulders,1,Low,Core,Body Weight,12-15,3,No description provided,General,
dumbbell arnold press v. 2,shoulders,1,Medium,Isolation,Body Weight,15-20,3,No description provided,General,
dumbbell bench seated press,shoulders,3,High,Isolation,Body Weight,15-20,3,No description provided,General,
dumbbell cuban press,shoulders,5,Low,Core,Body Weight,12-15,1,No description provided,General,
dumbbell front raise v. 2,shoulders,3,Low,Isolation,Band,12-15,2,No description provided,General,
dumbbell front raise,shoulders,5,Medium,Core,Body Weight,12-15,4,No description provided,General,
dumbbell full can lateral raise,shoulders,2,Medium,Compound,Band,12-15,1,No description provided,General,
dumbbell incline one arm lateral raise,shoulders,1,High,Cardio,Cable,12-15,3,No description provided,General,
dumbbell incline raise,shoulders,1,High,Pull,None,Max Effort,1,No description provided,General,
dumbbell incline rear lateral raise,shoulders,5,Medium,Pull,Machine,8-12,2,No description provided,General,
dumbbell iron cross,shoulders,2,Low,Isolation,Band,Max Effort,2,No description provided,General,
dumbbell lateral raise,shoulders,1,Medium,Push,None,8-12,4,No description provided,General,
dumbbell lateral to front raise,shoulders,4,Medium,Pull,Kettlebell,15-20,2,No description provided,General,
dumbbell lying one arm deltoid rear,shoulders,2,Medium,Core,Barbell,8-12,3,No description provided,General,
dumbbell lying one arm rear lateral raise,shoulders,5,High,Compound,Kettlebell,12-15,1,No description provided,General,
dumbbell lying rear lateral raise,shoulders,4,Low,Compound,Body Weight,8-12,4,No description provided,General,
dumbbell one arm lateral raise,shoulders,5,High,Push,None,Max Effort,3,No description provided,General,
dumbbell one arm lateral raise with support,shoulders,2,Low,Cardio,Kettlebell,Max Effort,1,No description provided,General,
dumbbell one arm reverse fly (with support),shoulders,2,Low,Push,Kettlebell,Max Effort,1,No description provided,General,
dumbbell one arm shoulder press v. 2,shoulders,1,High,Compound,Dumbbell,8-12,1,No description provided,General,
dumbbell one arm shoulder press,shoulders,4,Medium,Isolation,Cable,8-12,1,No description provided,General,
dumbbell one arm upright row,shoulders,5,Low,Cardio,Body Weight,12-15,2,No description provided,General,
dumbbell raise,shoulders,3,Low,Isolation,Kettlebell,8-12,2,No description provided,General,
dumbbell rear delt row_shoulder,shoulders,2,High,Cardio,Body Weight,15-20,4,No description provided,General,
dumbbell rear fly,shoulders,5,High,Cardio,Machine,15-20,2,No description provided,General,
dumbbell rear lateral raise (support head),shoulders,5,Low,Cardio,Barbell,15-20,3,No description provided,General,
dumbbell rear lateral raise,shoulders,5,Low,Isolation,Kettlebell,8-12,2,No description provided,General,
dumbbell reverse fly,shoulders,5,Medium,Isolation,Kettlebell,12-15,1,No description provided,General,
dumbbell rotation reverse fly,shoulders,1,High,Compound,Dumbbell,8-12,4,No description provided,General,
dumbbell seated alternate front raise,shoulders,4,Low,Compound,Band,Max Effort,4,No description provided,General,
dumbbell seated alternate press,shoulders,1,High,Compound,Body Weight,15-20,4,No description provided,General,
dumbbell seated front raise,shoulders,3,Medium,Compound,Body Weight,15-20,3,No description provided,General,
dumbbell seated lateral raise v. 2,shoulders,2,High,Compound,Band,8-12,3,No description provided,General,
dumbbell seated lateral raise,shoulders,4,Medium,Isolation,Kettlebell,12-15,3,No description provided,General,
dumbbell seated shoulder press (parallel grip),shoulders,4,High,Core,None,15-20,1,No description provided,General,
dumbbell seated shoulder press,shoulders,3,Low,Isolation,Machine,15-20,4,No description provided,General,
dumbbell side lying one hand raise,shoulders,1,Low,Core,Barbell,Max Effort,4,No description provided,General,
dumbbell standing alternate overhead press,shoulders,4,Low,Pull,Kettlebell,Max Effort,3,No description provided,General,
dumbbell standing alternate raise,shoulders,5,Low,Compound,Machine,15-20,1,No description provided,General,
dumbbell standing front raise above head,shoulders,5,High,Compound,Band,Max Effort,3,No description provided,General,
dumbbell standing one arm palm in press,shoulders,1,Medium,Compound,None,12-15,4,No description provided,General,
dumbbell standing overhead press,shoulders,2,Medium,Pull,Band,15-20,2,No description provided,General,
dumbbell standing palms in press,shoulders,5,Medium,Cardio,Kettlebell,Max Effort,2,No description provided,General,
dumbbell upright row,shoulders,3,Low,Push,None,Max Effort,2,No description provided,General,
dumbbell w-press,shoulders,1,High,Pull,Band,15-20,3,No description provided,General,
ez barbell anti gravity press,shoulders,3,Medium,Core,Kettlebell,Max Effort,4,No description provided,General,
kettlebell alternating press,shoulders,5,High,Pull,Machine,8-12,3,No description provided,General,
kettlebell arnold press,shoulders,4,High,Cardio,Barbell,15-20,4,No description provided,General,
kettlebell double jerk,shoulders,2,Medium,Push,None,8-12,1,No description provided,General,
kettlebell double push press,shoulders,2,High,Isolation,Machine,15-20,1,No description provided,General,
kettlebell double snatch,shoulders,4,Medium,Compound,Body Weight,12-15,2,No description provided,General,
kettlebell one arm clean and jerk,shoulders,5,Low,Isolation,None,8-12,3,No description provided,General,
kettlebell one arm jerk,shoulders,4,Low,Compound,Dumbbell,Max Effort,2,No description provided,General,
kettlebell one arm military press to the side,shoulders,5,High,Core,Barbell,8-12,4,No description provided,General,
kettlebell one arm push press,shoulders,4,Medium,Core,Kettlebell,Max Effort,1,No description provided,General,
kettlebell one arm snatch,shoulders,3,High,Pull,Machine,15-20,4,No description provided,General,
kettlebell pirate supper legs,shoulders,3,High,Push,Cable,15-20,3,No description provided,General,
kettlebell seated press,shoulders,2,Low,Pull,Dumbbell,8-12,3,No description provided,General,
kettlebell seesaw press,shoulders,3,High,Push,Kettlebell,15-20,3,No description provided,General,
kettlebell thruster,shoulders,5,Low,Pull,Kettlebell,8-12,1,No description provided,General,
kettlebell two arm clean,shoulders,3,High,Cardio,None,15-20,2,No description provided,General,
kettlebell two arm military press,shoulders,3,High,Isolation,Cable,8-12,2,No description provided,General,
lever lateral raise,shoulders,5,Medium,Isolation,Machine,8-12,2,No description provided,General,
lever military press,shoulders,4,Medium,Core,Cable,Max Effort,4,No description provided,General,
lever one arm shoulder press,shoulders,4,Medium,Cardio,Body Weight,Max Effort,4,No description provided,General,
lever seated reverse fly (parallel grip),shoulders,2,High,Push,None,8-12,2,No description provided,General,
lever seated reverse fly,shoulders,1,Medium,Push,Dumbbell,8-12,2,No description provided,General,
lever shoulder press,shoulders,3,Low,Isolation,Cable,Max Effort,2,No description provided,General,
rear deltoid stretch,shoulders,1,High,Isolation,None,12-15,2,No description provided,General,
smith behind neck press,shoulders,1,Medium,Core,Kettlebell,8-12,4,No description provided,General,
smith rear delt row,shoulders,5,Low,Isolation,Band,12-15,4,No description provided,General,
smith seated shoulder press,shoulders,4,Low,Pull,Barbell,8-12,3,No description provided,General,
smith shoulder press,shoulders,2,Medium,Core,None,8-12,3,No description provided,General,
smith standing behind head military press,shoulders,5,High,Push,Kettlebell,Max Effort,4,No description provided,General,
smith standing military press,shoulders,4,Low,Push,Band,12-15,1,No description provided,General,
smith upright row,shoulders,1,Low,Pull,Dumbbell,8-12,2,No description provided,General,
standing behind neck press,shoulders,5,Medium,Cardio,Kettlebell,12-15,3,No description provided,General,
weighted front raise,shoulders,4,Low,Core,Body Weight,12-15,1,No description provided,General,
weighted round arm,shoulders,1,High,Isolation,Band,15-20,1,No description provided,General,
dumbbell lying external shoulder rotation,shoulders,5,Low,Pull,Dumbbell,8-12,2,No description provided,General,
dumbbell upright shoulder external rotation,shoulders,5,Low,Core,Cable,12-15,3,No description provided,General,
lever shoulder press v. 2,shoulders,2,Medium,Isolation,None,15-20,1,No description provided,General,
band front lateral raise,shoulders,2,High,Push,Body Weight,15-20,2,No description provided,General,
band front raise,shoulders,4,Medium,Pull,Barbell,15-20,2,No description provided,General,
band reverse fly,shoulders,5,Medium,Push,Dumbbell,12-15,3,No description provided,General,
band shoulder press,shoulders,3,Low,Core,Band,Max Effort,3,No description provided,General,
band twisting overhead press,shoulders,3,Medium,Push,Dumbbell,8-12,4,No description provided,General,
band y-raise,shoulders,3,Low,Core,Band,15-20,1,No description provided,General,
band standing rear delt row,shoulders,3,Medium,Push,Cable,8-12,2,No description provided,General,
kettlebell seated two arm military press,shoulders,3,High,Isolation,Body Weight,15-20,3,No description provided,General,
barbell standing close grip military press,shoulders,5,High,Core,Dumbbell,Max Effort,3,No description provided,General,
barbell standing wide military press,shoulders,3,Medium,Push,Machine,15-20,1,No description provided,General,
dumbbell push press,shoulders,4,High,Isolation,Band,8-12,3,No description provided,General,
dumbbell upright row (back pov),shoulders,1,Medium,Core,Dumbbell,15-20,2,No description provided,General,
dumbbell cuban press v. 2,shoulders,3,Low,Pull,Machine,12-15,2,No description provided,General,
dumbbell arnold press,shoulders,5,High,Cardio,None,12-15,3,No description provided,General,
dumbbell standing around world,shoulders,5,High,Push,Body Weight,8-12,1,No description provided,General,
left hook. boxing,shoulders,2,Low,Cardio,Dumbbell,8-12,3,No description provided,General,
dumbbell rear delt raise,shoulders,3,Medium,Push,Kettlebell,15-20,2,No description provided,General,
dumbbell seated bent arm lateral raise,shoulders,1,Low,Core,Kettlebell,15-20,3,No description provided,General,
lever shoulder press v. 3,shoulders,4,High,Compound,Kettlebell,12-15,1,No description provided,General,
dumbbell scott press,shoulders,5,High,Compound,None,15-20,2,No description provided,General,
dumbbell lying on floor rear delt raise,shoulders,5,High,Isolation,Band,Max Effort,3,No description provided,General,
resistance band seated shoulder press,shoulders,1,High,Core,Kettlebell,15-20,3,No description provided,General,
landmine lateral raise,shoulders,3,Medium,Compound,Band,Max Effort,4,No description provided,General,
barbell thruster,shoulders,4,High,Push,Cable,15-20,3,No description provided,General,
dumbbell incline t-raise,shoulders,4,Medium,Push,Cable,Max Effort,1,No description provided,General,
dumbbell seated alternate shoulder,shoulders,5,High,Core,Band,15-20,4,No description provided,General,
dumbbell single arm overhead carry,shoulders,2,High,Cardio,None,8-12,1,No description provided,General,
weighted kneeling step with swing,shoulders,1,Low,Core,None,12-15,1,No description provided,General,
cable kneeling rear delt row (with rope) (male),shoulders,3,High,Pull,Barbell,15-20,3,No description provided,General,
assisted standing triceps extension (with towel),upper arms,2,Low,Compound,None,8-12,2,No description provided,General,
assisted triceps dip (kneeling),upper arms,4,Medium,Push,Band,8-12,1,No description provided,General,
barbell alternate biceps curl,upper arms,5,Medium,Pull,Body Weight,8-12,1,No description provided,General,
barbell close-grip bench press,upper arms,4,High,Compound,Cable,12-15,4,No description provided,General,
barbell curl,upper arms,4,Low,Pull,None,15-20,4,No description provided,General,
barbell decline close grip to skull press,upper arms,1,High,Isolation,Kettlebell,15-20,3,No description provided,General,
barbell drag curl,upper arms,5,High,Push,Band,12-15,4,No description provided,General,
barbell incline reverse-grip press,upper arms,4,High,Compound,Dumbbell,Max Effort,2,No description provided,General,
barbell jm bench press,upper arms,5,Low,Compound,Kettlebell,Max Effort,2,No description provided,General,
barbell lying close-grip press,upper arms,2,Low,Core,Body Weight,15-20,2,No description provided,General,
barbell lying close-grip triceps extension,upper arms,2,High,Cardio,None,12-15,1,No description provided,General,
barbell lying extension,upper arms,3,Medium,Cardio,Band,12-15,1,No description provided,General,
barbell lying preacher curl,upper arms,3,Low,Push,Barbell,Max Effort,1,No description provided,General,
barbell lying triceps extension skull crusher,upper arms,2,Low,Compound,Body Weight,12-15,4,No description provided,General,
barbell lying triceps extension,upper arms,1,Medium,Isolation,Barbell,8-12,4,No description provided,General,
barbell one arm floor press,upper arms,5,High,Isolation,Cable,8-12,1,No description provided,General,
barbell preacher curl,upper arms,4,Medium,Compound,None,Max Effort,1,No description provided,General,
